Main group,CPI inflation,CPI,Covid basket,CPI ,Covid basket 
Food and non-alcoholic beverages, 0.71,10.54,23.70, 0.07, 0.17
Alcoholic beverages and tobacco,-0.47, 2.76, 6.20,-0.01,-0.03
Clothing and footwear, 0.26, 3.40, 1.52, 0.01, 0.00
Housing and energy,-0.19,24.96,40.27,-0.05,-0.08
Household goods and services,-0.80, 3.79, 1.69,-0.03,-0.01
Healthcare,-0.08,15.69, 6.11,-0.01,-0.01
Transport,-1.74,10.97, 7.90,-0.19,-0.14
Communications,-0.06, 2.94, 4.75,-0.00,-0.00
Recreation and culture,-0.89, 8.37, 0.08,-0.07,-0.00
Education, 0.00, 1.00, 1.61, 0.00, 0.00
Restaurants and hotels,-0.75, 9.46, 2.04,-0.07,-0.02
Other goods and services,-0.09, 6.12, 4.13,-0.01,-0.00
